Headword,Definition
РЕКА,"ж. аг. сл. рака, рэчка, рачулка, рачны, рэчышча."
РЕЗЦЫ,"пярэднія зубы, секачы."
РЕЧЬ,мова.
РЕЧЕНИЕ,"ср. сказ, выслоў, высказ."
РЕШАТЬ,"канчаць, вяршыць, пастанаўляць; станавіць, развязываць."
РЕШИТЕЛЬНЫЙ,станоўчы.
РЕШИТЬСЯ,"адважыцца, надумацца."
РЕШЕНИЕ,"пастанаўленьне, разьвязка."
РЕШИМОСТЬ,станоўчасьць.
РЕШЕТО,ср. рэшата.
РЕЯТЬ,"лынаць, лынае, лынаньне."
РЮМИТЬ,"плакаць, хліпаць па дзяцінаму; рымзаць, рымзае, рымза. Чаго ты рымзаеш? Разрымзаўся хлапец."
РЮМКА,"ж. чара, чарка, чарачка. Чарку гарэлкі, сыр на талерку. Чарай абнясьлі на пачэснай бяседзе. А ты чарачка ты забавачка, не стучы, не гручы каля сэрца йдучы."
РЮХАТЬ,"выдаваць сьвінны голас; рохкаць, рохкае; рохля, эпітэт сьвіньні."
РЯБЫЙ,"рабы, рабаваты, рабасьць, рабізна, рабацьцё."
РЯБЧИК,м. птах курыннага котла; ярабак.
РЯБИТЬ,"у вачу; мітусіць, мільгае, мільгаціць, мігціць, таласіць."
РЯБЬ,"на вадзе, дробныя зморшчкі, хвалі; таласа, талосіцца."
РЯДИТЬ,"кіраваць, трымаць у парадку."
РЯДОМ,адзін каля аднаго; побач.
РЯДИТЬСЯ,"зьбірацца, прыгатовывацца."
РЯЖЕННЫЙ,"суджаны, суджаньне."
РЯЖЕНЫЯ,пераадзетыя ў маскі; машкарнікі.
РЯДОВОЙ,звычайны.
РЯСНЫЙ,"украінск. сьпелы, буйны, чысты; жаўры."
РЯСНИТЬ,жаўрэць.
РЯСА,"ж. верхняя вопратка сьвятароў, мніхаў і мнішак; рыза, рызны, падрызьнік, сподняя вопратка"
РЯХНУТЬСЯ,грымнуцца.
САБЛЯ,"ж. шабля, шабліца."
САБУР,м. расьціна Aloe; альвас.
САВАН,"доўгая белая ільняная кашуля, ў якой хаваюць нябошчыкаў; саян. Даўней пашанотная вопратка старцаў. Мне апавядалі жыхары вёскі Сталіца (Дзіс. пав.), што яшчэ іх дзяды на Купальле, Радаўнік, Коляды і Вялікдзень прыбіраліся ў доўгія, да пят, белыя кужэльныя кашулі, званыя саянамі. Гэткія саяны паказывалі мне прыгатаваныя на сьмерць. Пашыты яны былі з тонкага, добра выбеленага кужалю, падол у нізе, ў некатарых, быў ператканы вузенькай палоскай узору, цёмна-чырвонага колеру. Чорны саян: чамара."
САВАОФ,м. жыдоўск. адзін з эпітэтаў Бога.
САВРАСЫЙ,"конская масьць, каштан, каштанаваты."
САГИ,"названьне скандынаўскіх поэтычных легенд, былін."
САГО,ср. крупы вырабляныя з сэрцавіны сагавай пальмы.
САЖА,"ж. сажа; сапуха, сопат; сапоры, чорна чырванявы, барвы, масьці пачарнеўшай ад сажы рэчы, рас. „бурый“."
САЖАТЬ,"каго, саджаць, садзіць—дзіцца, сесьць."
САДОК,"м. рыбнік, сажалка, баер."
САЖАНИНА,пасаджаная зелень; садзіва.
САДОВНИК,"м. агроднік, гароднік."
САЖЕНЬ,"ж. (ад „сягаць“), мера ў стан чалавека, як можна сягнуць ўверх рукой; сяжань; сажань мера=3 аршынам."
САЗАН,"м. рыба Cyprinus carpio, карп."
САЙДАК,"м. татар. налучнік, пакровец на лук зазвычай скураны; сагайдак, калчан, налучнік."
САЙКА,"ж. пшанічны хлябец вельмі туга замешанага цеста; рагалька, рагалькі; тугое цеста замешанае на расьцінным малацэ (канапельным, макавым), печанае блінцамі, называецца: сачэнь, сачні."
САКЛЯ,"ж. грузінск. хаціна, хатка."
"САК, САКОС",грэцк. архірэйская шата; сакас.
САКВОЯЖ,"м. франц. дарожны мяшок; тайстра, клумак, хатулёк, хатыль."
САЛАЗКИ,"ж. мн. ручныя санкі; саначкі, крынджолкі."
САЛАМАТА,"ж. мучная кашка з жытняга соладу; саламаха; лямёшка, лямяха."
САЛАТ,м. расьціна Lactuca; салата.
САЛА,"ср. пласт падскурнага клушчу, туку, — расійцы называюць салам, а у нас гэта: саланіна; унутранны тук, які ляжыць чапцом на кішках завуць у нас сала. Карові, авечы тук, клушч, у нас завуць не „сала“, а лой; зайчы — тук — скром; птушыны, (гусячы) — шмэляц; чалавечы — клушч; рыбі — тук. Агульнае найменьне клушчавой матэрыі якая творыцца ад зьлішкі стравы — тук, клушч."
САЛЬНЫЙ,"месьцячый ў сабе сала; клусны, клусьнець."
САЛЬНОСТЬ,"клуснасьць, клускасьць; аб непрыстойнай гутарцы, слове: бляўза, бляўзгае; няпрыстойнасьць."
САЛЕНЬЕ,"чаго, клушчаньне, клусьціць."
САЛЬНИЦА,бляшанка ў якой трымаюць клушч да мазаньня машын; мазьніца.
САЛОН,"м. франц. гасьцінная, вітальня."
САЛОП,"м. франц. верхняя жаночая цёплая вопратка, круглая бурка."
САЛТЫК,"ж. татар. форма, формаўка; постатка."
САЛФЕТКА,ж. франц. сарвэтка.
САЛЮТОВАТЬ,"каму, франц. вітаць стрэляньнем."
САМШИТ,дрэўца Buxus sempervirens; букшпан.
САМ,"заімак. сам, сама, само; самы, самасьць, самотны; самец, мужчына у жывёлаў і птахаў."
САМОВЛАСТИЕ,"ср. самаўлада—насьць, самаўладнік."
САМОВОЗГАРЯНИЕ,"ср. самаўзгорчывасьць, самаўспалькасьць."
САМОВОСХВАЛЕНИЕ,ср. самахвальства.
САМОДВИГАТЕЛЬ,"самарушнік, самапаруховец."
САМОИЗВОЛЬНЫЙ,"самахотны, самавольны."
САМОМНЕНИЕ,"ср. самахвальства, самадумства."
САМОНАДЕЯНИЕ,ср. самапэўнасьць.
САМОНРАВИЕ,"ср. самаволя, самавольнік—ніца."
САМООБЛАДАНИЕ,"ср. самааблада, самаабладны."
САМОУНИЧЕЖЕНИЕ,"ср. самаўніжэньне, самаўніжна."
САМООБОЛЬЩЕНИЕ,ср. самаашуканства.
САМОСОЗНАНИЕ,"ср. сьвядомасьць, самаведнасьць."
САМООТВЕРЖЕНИЕ,"ср. самаахвяра, самаахвярна."
САМОПОЗНАНИЕ,ср. самапазнаньне.
САМОПРАВСТВО,"самаўправа, самаўпраўства."
САМОПРОИЗВОЛЬНЫЙ,"самавольны, самаволя."
САМОПРЯЛКА,"самапрадка, самапраднік."
САМООПРЕДЕЛЕНИЕ,ср. самаазначаньне.
САМОРАЗЛОЖЕНИЕ,ср. самаразпад.
САМОСТОЯТЕЛЬНЫЙ,"самаісты, самаістнасьць."
САМОТЕК,"м. самацёк, самацечны."
САМОЦВЕТНЫЙ,"камень, дарагі, цэнны."
САМОЧЕСТВОВАНИЕ,ср. самашана.
САМОПОЧИТАНИЕ,ср. самапашана.
САМОПОКЛОНЕНИЕ,ср. самапаклонства.
САМООБОЖАНИЕ,ср. самабагомленьне.
САМОЧИНСТВО,ср. самаволя—вольнік—ніца.
САМОЧИНСТВО,ср. самачын.
САНГВИНИК,"м. лац. чалавек поўнакроўнага складу, гарачага характару."
САНДАЛ,м. дрэва ўжыванае на фарбу; брузэлія.
САНДАЛЫ,"црк. абутак, падвязныя падэшвы; пасталы."
САНДРИК,м. будаўніч. надаконнік.
САНИ,"ж. мн. сані, санкі, саначкі, санцы; саннік, майстар які вырабляе сані; санная дарога, зімовая, засыпаная сьнегам."
САНИТАР,м. франц. даглядчык хворых на вайне.
САН,"м. высокая зьверхнасьць або годнасьць; дастойнасьць, дастойніцтва. Біскупская, каралеўская дастойнасьць."
САНОВНИК,м. дастойнік—ніца.
САПА,ж. франц. вайск. роў для падходу да крэпасьці.
САПЕР,"м. франц. вайсковы будаўнічы, інжынер."
САПЕРНЫЙ,"батальён, будаўніцкі, інжынерны."
САПЕТКА,каўказ. плецены вулей; пляцёнка да бутэлькі; пляцёнка.
САПИНА,"ж. ссадзіна, зьбітая скура на целе."
САПОГ,"м. бот, боты, боцікі."
САПОЖНИК,"м. майстар які шые абутак; шавец, шавецтва; шэўчык (таксама як: „крэўчык“, ад „кравец“)."
САРАЙ,"м. татар. халодная будыніна пры хаце для сена, саломы, мякіны; пуня, пунька; для трыманьня павозак, і упражы; вазоўня."
САРАНЧА,"ж. жамяра, падобная на палявога коніка, якая тучамі налятае і паядае збожжа і травы; шаранча: нальля."
САРАФАН,"м. жаночая расійская вопратка, без рукавоў і з паясом."
САРАЦЫНСКОЕ ПШЕНО,"рыж, рыжовы."
САРКАЗМ,"злосная насьмешка; насьмешка. Саркастычны сьмех, злосны сьмех."
САРКОФАГ,м. грэцк. магільны помнік ў форме труны.
САРПИНКА,"ж., паркаль, паркалёвы."
САТАНА,"ж. чорт, бес, нячысьцік, злы дух; імя аднаго з праклятых арханелаў; шатана, шатан;"
САТИРА,ж. лац. пісаны твор ў якім маецца насьмешка; сатыра.
САТИСФАКЦИЯ,ж. франц. здаволеньне.
САФЬЯН,ж. татарск. (казёл); вырабленая казловая скура рожнай афарбоўкі.
САХАР,"м. лацінск. цукір, цукровы, цукрысты, цукрынка, цукраваць—вацца; цукернік, хто робіць цукеркі; цукеркі, рас. „конфеты“."
СБАВЛЯТЬ,"з чаго, спускаць, ськідаць цану; зьніжаць, зьмяншаць. Хоць крыху спусьці, ськінь, зьніж з цаны. Ськінь з возу. Зьменшыць пыхі."
СБАТОВАТЬ,"коні, зьвязаць усе павады ў адзін вузёл; збатаць."
СБЕЛЕНИТЬСЯ,ашалець. Што ты ашалеў? Вярзеш як блёкату аб’еўшыся.
СБЕРЕГАТЬ,"што, шчадзіць, шчадна, шчадзіцца."
СБИВАТЬ,"што, зьбіваць, зьбівацца, зьбіваньне, зьбіўка, зьбіўны, зьбівісты, зьбіўкі, зьбіток, зьбіцень."
СБИРАТЬ,"што, зьбіраць, зьбірацца, зьбіраньне, збор, зборка, зборы, зборшчына, зборня, зборышча."
СОБИРАТЕЛЬНЫЙ,зборны.
СБОР,"м. збор, зборны, зборна."
СБЛИЖАТЬ,"што з кім, збліжаць, зблізіць—жацца."
СБОКУ,прысл. збоку. Знаюць Юрку і ззаду збоку.
СБОЧЬ,"прысл. ўзбоч, наўзбоч, наўсубач, субач. Узбоч лесу цячэ рэчка. Наўзбоч, наўсубач вёскі стаіць яго хатка. Субач гары праходзіць вулка."
СБОРНИК,"м. сабранне вершаў, апавяданьняў ці іншых пісьменных твораў; зборнік."
СБРЕСТИ,"збрысьці, збродны, збродлівы."
СБРАСЫВАТЬ,"што, адкуль; ськідаць—дацца, скіданьне."
СБРАТАТЬСЯ,"з кім, збратацца."
СБРИВАТЬ,"бараду, галіць, згаліць."
СБРОСИТЬ,"што, ськінуць, ськідаць—дацца."
СБРИЗГАТЬ,"што, спырскаць вадой, дажджом."
СБУНТИТЬ,"пяньку, спавясаць, спавяска, павеска."
СБЫВНОЙ,"тавар, збытны."
СБЕГАТЬ,"з чаго, збягаць, зьбеглы, зьбежны, зьбежнік—ніца."
СВАДЬБА,"ж. вясельле, вясельнік—ніца."
СВАЖИВАТЬ,"што, куды; звазіць, зьвязьці, звозка, звоз, звозны, звознык—чыца."
СВАЗЖАТЬСЯ,"з кім, зблутацца."
СВАЯ,ж. бэлька ўбітая ў зямлю; паля. От там кале ставу еще і цяпер тырчаць з вады палі (Сержп. 54).
СВАЛИВАТЬ,"што або каго, зваляць, зваліваць—вацца, звал, звальны."
СВАРГАНИТЬ,"што, зрабіць што няўмеючы, хутка, абыяк; зварсаць, зкешкаць."
СВАРИТЬ,"што, зварыць, згатаваць, спрагціць."
СВАРНАКАТЬ,"салгаць, зьвярзьці."
СВАТАЖИТЬСЯ,"з кім, зсябравацца."
СВАТАТЬ,"княгіню, сватаць—тацца, сватаньне—тоўства; сват — хто вядзе маладога ў сваты, сваха, свашка, свацьця; дзеваснобіны, дзеваснобьбе, дзевасноб, дзеваснобіца. Прыгатаваўшы ўсё патрэбнае, жаніх з дружкам адпраўляюцца ў дзеваснобы (Быт Зап. Руск. Селяніна Крачк. стр. 19). Дзеваснобы паўтараюцца часам у чэцьвер перад вясельлем, тады яны вядомы у некаторых мяйстох пад найменьнем змовін (тамжа, стр. 22). У Лепэльшчыне, „дзеваснобамі“ і „дзеваснобкамі“ называюць дружкаў і дружак якія едуць з поездам маладой ў дом маладога; старшы „дзевасноб“ або „маршалак“, гэта сват."
СВАХЛЯТЬ,"зрабіць абыяк; зкешкаць, злямчыць."
СВЕКЛА,"ж. расьціна Beta vulgaris; бурак, буракі, бурачаны, бурачнік. Бурачковы колер, сіва-чырванявы. Бурачковы цукер, юшнік. Бурачанае націва называюць — бацьвіньня; з яго вараць улюбленую нашым народам страву: бацьвіньнік. Асабліва славіцца бацьвіньнік з сьвіннымі ванглёнымі вушамі і скабамі, беляны сьмятанай."
СВЕКОР,"м. бацька мужа; сьвёкар—карка; сьвякроўка, сьвякруха, сьвекра, маці мужа. Помніць сьвекра сваю моладасьць, дык і нявестцы ня верыць. Сьвекарка — ня родны татка, сьвякроўка — ня родна матка (песьн.). Не надымайся, — сьвекрам ня будзеш (Прыказка)."
СВЕРБЕТЬ,"сьвярбець, сьверб, сьвярбата, сьвербкі, сьвярбушка; свораб, сворабна, сворбка, свароб—лівы, сваробіца (Вяліжск, пав.)."
СВЕРГАТЬ,"што, каго, з чаго; ськідаць, сьпіхаць, валіць з вышыні; зрынаць, зрынацца, зрынаньне, зрынач—чка."
СВЕРЖЕННЫЙ,"зрынуты, зрынутнік—ніца."
СВЕРКАТЬ,"сьвігаць, сьвігае, сьвітаць—тацца, сьвігнуць; сьвігавіца, поблісь ў тучы, маланка; сьвігтучы, сьвігучы, сьвігня; мігцець, мігаць, міглівы; зігцець, зігаць, зіглівы; лыскаць, лышчэць."
СВЕРНУТЬ,"у бок, збочыць, зьвярнуць."
СВЕРНУТЬ,"што, зьвінуць, скруціць, згарнуць."
СВЕРСТАТЬ,"што, зраўняць у адну меру з чым, ў адзін рад; зшыхтаць, зшыхтацца, шыхтоўка; зраўняць."
СВЕРСТНИК,"м. раўня, адналетак; равесьнік—ніца, равесны, равесьніцтва."
СВЕРТЫВАТЬ,"што, зьвінаць—нацца, зьвіток; зьвітны, зьвіты, спрытны, дасьцейлівы."
СВЕРХ,"чаго, звыж. Звыж платы яшчэ і падзяка. Звыж году служыў."
СВЕРХУ,"чаго, зьверху, паверх. Паверх зямлі — вада. Сыр зацьвілеў зьверху."
СВЕРХКОМПЛЕКТНЫЙ,"звыжпатрэбны, надпатрэбны."
СВЕРХМЕРНЫЙ,"звышмерны, надмерны."
СВЕРХЕСТЕСТВЕННЫЙ,"наднатуральны, надыстотны."
СВЕРШАТЬ,"што, даконываць, даконывацца, даканаць, дакананьне, дакананы, даканаўшчык—чыца."
СВЕРЧЕК,"м. жамярыцца Grileus; цьвіркун, сьвірстун, свершч. Знай сьвяршчок свой шасток."
СВЕСТЬ,"сястра жонкі; сьвесь, сьвестка, сьвесьніца. Посла Миндовгъ за по свою свесть (Лет.); сьвесьціны, плёткі."
СВИВАТЬ,"што, зьвіваць—вацца, зьвіваньне, зьвіток, зьвіцень, зьвітны."
СВИДАТЬСЯ,"з кім, пабачыцца, пабачаньне."
СВИДЕТЕЛЬ,"сьведка, сьведчыць."
СВИДЕТЕЛЬСТВОВАТЬ,сьведчыць.
СВИДЕТЕЛЬСТВОВАНИЕ,сьведчаньне.
СВИДЕТЕЛЬСТВО,пасьведчаньне.
СВИНЧИВАТЬ,"што, сашрубовываць."
СВИНЕЦ,"м. коў, адзін з самых мяккіх і важкіх; волава, валавяны, валавяніць, волаўка. Той коў які па расійску называюць волава у нас называюць яго — цына."
СВИНЬЯ,"ж. сьвіньня, сьвінка, сьвінячы; сьвінуха, сьвінушка, травяністая расьціна якая пад восень бялее і робіцца жострай як сьвінная шэрсць, расьце на пясчаных і падзольных высокіх землях; сьвінушнік, сьвінарнік, сьвінятнік, хлеўчык для сьвіней; сьвінства, неахайнасьць ў маральным значэньні; сьвініна, сьвінное мяса; сьвінтус, чалавек неахайны ў фізычн. і маральным значэньні; сьвінар, сьвінапас, пастух які пасьвіць сьвіньней; сьвінячыцца, паступаць брыдка, па сьвінску. Знаў Бог, што ня даў сьвіньні рог. Здарылася сьвіньні ў неба глянуць. Воўк не пастух, а сьвіньня не агроднік. Заракалася сьвіньня бруды есьці. Ашчыраецца як сьвінная галава на Коляды, калі ляжыць вараная на стале. Рохкае, як сьвіньня. Эпітэт сьвіньні: рохля. Сьвінны самец не кледзены: кнур, кнораз, керназ; кладзены: парсюк. Па ўзросту: парасё, падсьвінак, кабан."
СВИРАТЬ,"што на каго; ілгаць, салгаць."
СВИРЕЩАТЬ,"верашчэць, выдаваць рэзкі праразьлівы голас; сьвірашчэць, сьвіраст, сьвірасьцёлка, названьне птушкі Ampellis (Bombycilla) garulus. Ты мая перапёлачка, ты мая сьвірасьцёлачка (Песн.)."
СВИРЕЛЬ,"сьвісьцёлка, музычная прылада; жалейка; сьвірасьцёлка, дзьве дудкі зьвязаныя разам адна другой карацейшая; сьвірэць, музыка на сьвірасцёлках."
СВИРЕПЫЙ,"люты, лютасьць, лютаваць. У старой нашай пісьменнасьці слова, „свирѣпый“ трапляецца ў значэньні: дзікі, дзікасьць."
СВИСАТЬ,"звісаць—саньне, зьвіслы, зьвіславаты."
СВИСТЕТЬ,"сьвістаць, сьвіснуць, сьвіст, сьвістун, сьвістуха, сьвістушка, сьвістулька, сьвісток; сьвішч, наскрозная дзіра ў чым колечы: ад выпаўшага сучка ў дашцэ, чарвяточына ў арэсе, наскрозная дзіра ў целе, гнойная глыбокая рана; сьвішчаваты."
СВИТА,"ж. франц. акружаючыя пануючую ці знатную асобу людзі, пашанотная варта; почат, ў почце, ў акружаньні почту."
СВИТОК,"м. сувой, зьвітак."
СВИХНУТЬ,"што, выламаць, вылушчыць з мейсца; зьвіхнуць—нуцца, зьвіханьне, зьвіх, вывых, вывіхнуць—нуцца."
СВИЯЗЬ,"качка падобная да шылахвоста, з сіняй дзюбай; сьвітазь, сьвітаза."
СВОБОДА,"свая воля, вольнасьць; свабода, свабодны, свабоднік—ніца; воля, вольны, вольніца, вольнік."
СВОДИТЬ,"каго, з чаго, адкуль; звадзіць, звод, зводны."
СВОДЧАТЫЙ,"скляпеністы, скляпіць, скляпеньне."
СВОДНЯ,"ж. свахрайка, свахрайства."
СВОДЧИК,"м. свахрай, свахрайнік—райніцтва."
СВОЗИТЬ,"звазіць, звоз, звозны, звозчык."
СВОЙ,"заімак, свой, свая, сваё, свае. Выдаю свой ўласны, а ня чужы грош. У нас свой дом. Свая рука не ліхадзейка. Свая табака не пяршыць. Сваё дабро хоць ноччу еш. Сваё дзіцятка. Свае коні. Воўк сваё возьме. Кождаму свой кон і закон. Свойскі, свой; аблашчаны, ня дзікі. Гэта свойская справа. Свойская разправа. Свойскі конь, свой; асвоены. Свойскія качкі, асвоеныя — ня дзікія. Свойскі абычай. Свойчлівы чалавек, які ня робіць турбаціі, не вымагае асаблівых каля сябе захадаў."
СВОЙСТВО,"ср. свая асаблівасьць, што адражняе адну рэч ад другой; свомасьць, свома, свомны. Аднэй вялічыны і меры ды не аднэй свомасьці рэчы. Свомна чалавеку памыляцца."
СВОЙСТВО,"сваяцтва па крыві; сваяцтва, сваяк, сваячка, сваяцкі."
СВОЯЧНИЦА,"сястра жонкі; сьвестка; свацьця, сватка, ятроўка, швагерка, пасестрымка."
СВОЯК,"муж жончынай сястры; свась, сват, швагер, дзевер, пасестрым."
СВОЯСИ,"свой дом, свая сямья, бацькаўшчына, свойчына. Паедзем на свойчыну. А што у нас на свойчыне цяпер дзеецца? Дай Бог на свойчыне сядзець, а не па чужыне бадзяцца. Свайчак, тое-ж што рас. „земляк“, свой чалавек, чалавек з бацькаўшчыны."
СВОЕБЫТНЫЙ,"абычай, свойскі."
СВОЕВЛАСТИЕ,ср. самаўладнасьць.
СВОЕВРЕМЕННЫЙ,сваячасны—часна.
СВОЕДЕЛЬНЫЙ,"стол, самаробны."
СВОЕДОРНОЕ,"лыка, самалутнае."
СВОЕЗЕМЕЛЬНЫЙ,"сваеземны, сваяземец."
СВОЕКОРЫСТИЕ,ср. самапрагны—тасьць.
СВОЕНРАВИЕ,"ср. самадурства, самадур."
СВОЕОБЫЧИЕ,ср. самазвычнасьць.
СВОЕОБРАЗНЫЙ,сваеаблічны—насьць.
СВОЕРОДНЫЙ,"сваякі—касьць, сваякасьлівы."
СВОЕУМИЕ,"ср. разумніцтва, разумнік—зумніца."
СВОЛАКИВАТЬ,"што, звалачаць—чацца."
СВОЛОЧЬ,"усё што звалочана ці звалаклося ў адно мейсца, благі народ, галцяі, бадзягі; зброд, збродны; збродзень, цяжкі праступнік; збродня, цяжкі праступак; збройца, хуліган, той хто зрабіў які праступак; назброіць, набуяніць нахуліганіць; зброя, рас. орудіе."
СВОРАЧИВАТЬ,"зварачываць—ца, зьвярнуць, зварот, зваротлівы."
СВОРКОВАТЬСЯ,"з кім, збрукавацца."
СВОРОВАТЬ,"што, украсьці, украсьць; украдкам, ціха зрабіць што, крадучыся, хаваючыся."
СВОРЫХАТЬ,"што, зварухнуць, зкрануць."
СВЫКАТЬСЯ,"з чым, звыкацца, звыкнуцца, звычка, звычай, звычна; звычлівы, які легка звыкаецца з чым, з кім."
СВЫСОКА,"прысл. гаворыцца толькі ў пераносным значэньні; звысока. Глядзіць звысока, на каго. Гаворыць звысока, дабранымі, вычурнымі сказамі."
СВЫШЕ,"прысл. звыш, знаўзвышы, зьверх, згары. Гэта зьверх сіл маіх. Звыш гэтай цаны не даюць. Прасьвяда зыходзіць знаўзвышы, з неба ад Бога. Запона царкоўная разадралася згары да нізу."
СВЫЧНЫЙ,"звычны, які прывык, прызвычаіўся."
СВЕВАТЬ,"што з чаго, зьвяваць—вацца, зьвеўкі."
СВЕДАТЬ,"што, дазнаць, дазнаньне, дазнацца."
СВЕДЕНЬЕ,"ср. дознатка—наткі; зьвестка, ведамка."
СВЕДУЩИЙ,"чалавек, які ведае справу, работу, навуку; знайлівы; сьведамы."
СВЕЖИЙ,"аг. слав. сьвежы, сьвежасьць, сьвежына, сьвяжынка; сьвежаніна, мяса сьвежа забітай жывёлы; сьвежаваць, забіваць, рэзаць на мяса жывёлу; сьвяжуха, маладзіца,"
СВЕНЧАТЬ,"каго з кім, зьвянчаць—чацца."
СВЕРЯТЬ,"што з чым; спраўджаць, спраўдка, спраўдчык—чыца."
СВЕСИТЬ,"што, зважыць, адважыць."
СВЕСТИТЬСЯ,"з кім, знясьціся, зьнюхацца."
СВЕТ,"м. сьвятло, сьветласьць. Цемра сьвятла ня любіць. Наняў жыльлё са сьвятлом і цяплом. Сьвятло веры, праўды. Адыдзі ад сьвятла. Сонечнае сьвятло, лепш лучыны (жарт.). Пацёмшчыкі сьвятла ня любяць. Па нашаму сьвет, тое што па расійску „мір“. Ня ўвесь сьвет, што ў вакне. Хто заморам не бываў, той і сьвету не відаў. Пажылі мы на сьвеце, пасаромілі добрых людзей. Птушынага малака на ўсім сьвеце ня знойдзеш."
СВЕТИЛО,"црк. сонца, месяц, гвезды; сьвятнік."
СВЕТИЛЬНИК,"м. сьвечнік, каганец, сьветач."
СВЕТИЛЬНЯ,"валакняны шнур у сьвечцы; кнот, кноцік."
СВЕТИЛЬНЯ,падстаўка да лучыны; сьветач.
СВЕТЕЛКА,"гасьцінны, чысты пакой; сьвятліца."
СВЕТЛО,"прысл. сьветла, сьвятлее."
СВЕТЛЯК,"м. жамярыца, на выгляд — чарвячок які сьвеціцца ў ночы; сьвятулёк, сьвятулькі; купальскі чарвячок."
СВЕЧА,"ж. свяча, сьвечка. Ні Богу сьвечка, ні чорту погаж. Суліў чорту сьвечку, якому яна не патрэбна. Сьвечня, сьвечніца, падстаўка пад сьвечку, ліхтар."
СВЕТОПИСЬ,"фотографія, сьветладрук."
СВЕТИК,"песьлівае, ясачка, яска."
СВЕЩАТЬСЯ,"з кім, раіцца, радзіцца, умаўляцца аб што пад зарукай, прысягай; зьвечавацца, зьвячуюцца—валіся, зьвечаўка; зьвечаўнік, зьвечаўніца, рас. „заговорщик—щица“."
СВЕШИВАТЬ,"што, важыць—цца, важаньне."
СВЕЩНИК,м. сьвечнік.
СВЯЗЫВАТЬ,"што, зьвязываць—вацца зьвязь; зьвязны, які зьвязывае, зьвязываецца; зьвязнасьць, зьвязь, выразістасьць."
СВЯЗИСТАЯ,"матэрыя, сьцягаючая як таніна (гарблік); сьцягаючая."
СВЯЗЛО,"ср. перавязка саломай, травой; пярэвясла."
СВЯЗАТЬ,"рукавічку, назутку; зрубіць."
СВЯТОЙ,"аг. слав. сьвяты, сьвятасьць, сьвяціць, сьвята, сьвяткі, сьвяткаваць, сьвяточны, сьвятдзень."
СВЯЩЕНИЕ,"пасьвячаньне, пасьвяціць."
СВЯТИЛИЩЕ,сьвятое мейсца; сьвятыня.
СВЯТИТЕЛЬ,"м. зьверхнік над сьвятарамі; біскуп, архірэй."
СВЯТЫННЫЙ,сьвятарны.
СВЯТОША,"сьвятуха, сьвятух, сьвятахлівы; сьвятун, сьвятуля, сьвяцька."
СВЯТЕЙШИЙ,"тытул патрыярха, сьвятшы."
СВЯЩЕНЫЙ,сьвятарны.
СВЯЩЕННИК,"сьвятар, сьвятарства, сьвятарскі."
СВЯЩЕННИЧАТЬ,"сьвятарыць, сьвятарстваваць."
СВЯЩЕННЕЙШИЙ,"тытул мітрапаліта, сьвятарнейшы."
СВЯТОТАТЬ,сьвятакрадца.
СВЯТОТАТСТВО,сьвятакрадзтва—крадны.
СВЯТОХУЛЬСТВО,сьвяталайства—лайнік.
СВЯЩЕННОДЕЙСТВОВАТЬ,сьвятадзеяць—дзейства.
СВЯЩЕННОНАЧАЛИЕ,герархія.
СВЯЩЕННОСЛУЖИТЕЛЬ,сьвятаслужнік.
СВЯЩЕННОПЕНИЕ,ср. сьвятасьпеў.
СГИБНУТЬ,згінуць. Згінеш як рудая мыш.
СГИБАТЬ,"што, згібаць—бацца—баньне, згібны, згіб, згібісты, згібень, згібнік."
СГЛАЖИВАТЬ,"што, згладжаць—джацца."
СГЛОДАТЬ,"што, зглыдаць, згложа."
СГОРЯЕМЫЙ,"згарны; спальны, спальнасьць."
СГОРЯТЬ,"згараць, згараньне, згар; спаляцца."
СГЛУПИТЬ,"здурыць, здуру, па дурнаце, па глупасьці."
СГЛЯДИНЫ,"агляд маладой, угледзіны."
СГНЕТАТЬ,"што, згнятаць, сьціскаць."
СГНУСИТЬ,"сказаць у нос; згугнавіць, гугнавы."
СГОВАРИВАТЬ,"каго з кім; згаварываць—вацца, згавор, згаворчывы—васьць."
СГОНОШИТЬ,"сабраць, сашчадзіць; скантопіць. Скантопіў на старасьць капейку."
СГОРЯТЬ,"згараць, спаляцца."
СГОРСТАТЬ,"што, згарнуць."
СГОТОВИТЬ,"што, прыгатаваць."
СГРАБЛИВАТЬ,"што, зграбаць, зграбсьці; зграбастаць, зграбсьці, схапіць."
СГРЕБАТЬ,"што, зграбаць, згробкі, згробчывы."
СГРЕЗИТЬ,"што, збрэдзіць праз сон."
СГРОМОЗДИТЬ,"што, зграмадзіць; згрудзіць, груд."
СГРУБИТЬ,"каму, згрубіяніць."
СГРУЖАТЬ,"што з чаго, ськідаць цяжыва, разпацяжаць, разгруджаць."
СГРУППИРОВАТЬ,"што, франц. згрупаваць; зкучыць, зкупіць, сабраць у адну купу; згуртаваць."
СГРУСТНУТЬСЯ,змаркоціцца.
СГРЫЗАТЬ,"што, згрызаць, згрызак."
СГУЩАТЬ,"што, згушчаць, згусьціць, згусьцелы."
СГУЩАЕМОСТЬ,"згуснасьць, згусны, згустак."
СДАБРИВАТЬ,"што чым; здабрываць, палепшаць."
