Headword,Definition
ИЗГРОБНЫЙ,"голас, загробны, замагільны."
ИЗГРЕБКИ,"ср. згрэбьбя, згрэбны; выграбкі."
ИЗГРОХОТАТЬ,што; здрузгатаць.
ИЗГРИЗОК,м. агрызак. Агрызак хлеба. Мышыны агрызак.
ИЗГРЯЗНИТЬ,"што, збрудзіць, загразіць."
ИЗДАВАТЬ,"згук, выдаваць. Выдаваць кнігі, грошы."
ИЗДАНИЕ,"ср. выданьне, выдавецтва, выдавец."
ИЗДАВНА,прысл. сыздаўна. У нас сыздаўна так вядзецца.
ИЗДАЛИ,"прысл. сыздалі. Сыздалі прыехалі. Гразіцца мыша на ката, ды сыздалі. Сыздальны чалавек."
ИЗДЕРГАТЬ,"што, паскубаць, падзерці; сутаргамі, хварабліва: сторгаць, сторгай. Паскубі кужэліну на скубаніцу да ран. Сморгала яго сутарга."
ИЗДЕРЖИВАТЬ,"што, выдаваць, пражываць, траціць."
ИЗДОБА,"ж. прыправа, закраса."
ИЗДОВОЛИТЬ,"каго чым, здаволіць."
ИЗДРЕВНИЙ,"абычай, здаўны, спрадаўны."
ДРОБИТЬ,"што, скрышыць."
ИЗДЕВАТЬСЯ,"над кім; зьдзекавацца, здзекі. Што з няўмекі строіць зьдзекі."
ИЗДЕЛИЕ,"ср. выраб, вырабляць. Вырабы хатняга рэмясла, ткацкіе, ганчарныя."
ИЗДЕЛЬНАЯ,"плата, зробная."
ИЗЖАЛИВАТЬ,"каго, сажгаць, зжыгаць. Зжыгалі, сажгалі пчолы каня."
ИЗЖАРИВАТЬ,"што, спражыць, спятрашыць. Выпетрыў чорт бы скурат (Сержп.)."
ИЗЖИВАТЬ,"што, зжываць. Век зжыць ня мех сшыць."
ИЗЖОГА,ж. пякотка. Пякотка пячэ ў горле.
ЗА,"спа-за, з-за. З-за вугла. За сваё дабро. Спа-за лесу."
ИЗЗАРАНЬЯ,"прысл. спазараньня, спазаранку."
ИСКЛЮЧЕНИЕ,ср. вынятак.
ИЗЛОВЛЯТЬ,"каго, лавіць, злавіць, злавіцца."
ИЗЛАГАТЬ,"што, выкладаць."
ИЗЛОЖЕНИЕ,"ср. выклад. Выклад кароткі, ясны."
ЛЕЧЕНИЕ,ср. вылячэньне.
ИЗЛИВАТЬ,што з чаго; выліваць.
ИЗЛИТИЕ,"ср. выліў. Выліў ракі, жалю."
ИЗЛИЦЕВАТЬ,"што, зьніцаваць, пераніцаваць."
ИЗЛОМАТЬ,"што, зламаць, сызлом."
ИЗЛУЧАТЬ,"час, пару; улучаць."
ИЗМАЯТЬ,"каго, змарыць, замучыць."
ИЗМЕЛИТЬ,"ваду, зьмяліць, мелкі; зрабіць дробным; спарушыць, здрабніць."
ИЗМИНАТЬ,"што, зьмязджаць."
ИЗМОРОЗЬ,"ж. замерзшая ў паветры або на рэчах пара; шаць, шэрань."
ИЗМОР,м. сызмор. Узяць каго сызморам.
ИЗМОЧАЛИВАТЬ,"што, разьбіць на валокны, зьвехціць, размызгатаць, разгвазгаць."
ИЗМЕНЯТЬ,"што, даваць адну рэчь за другую, замяняць, перамяняць."
ИЗМЕНА,"ж. нявернасьць, перамена ў пачуцьцях, ў мысьлях ў адваротную старану; зрада, зраднік, зраджываць; зрада, зрадніцтва, зраджаць."
ИЗМЕРЯТЬ,"што, вымяраць, вымерываць, вымер."
ИЗМЕРЕНИЕ,"ср. вымер памер, спамер."
ИЗМЯТЬ,"што, скомкаць, скомшыць."
ИЗНАНКА,"ж. выварат, подшэўка, зьнічка, зьніцная старана."
ИЗНАСИЛИВАТЬ,"каго, спанясілаваць, згвалціць."
ИЗНАЧАЛА,прысл. спачатку.
ИЗНОЖЬЕ,"ср. ніжні, узножны канец ложка; узножжа."
ИЗНОРАВЛИВАТЬ,"каго, разбязурываць, знараўліваць."
ИЗНУРЯТЬ,"каго, марыць, марчыць. Змарыў каня. Марыць голадам. Марчыць сэрца сваё тугай."
ИЗНЕДРЯТЬ,"што, спанатрыць."
ИЗНЕЖИВАТЬ,"каго, здалікачываць, здалікачаны; спакволіваць, спаквоны."
ИЗНЯТЬ,"што, вызняць, вызняткі."
ИЗОБИДЕТЬ,"каго, спакрыўдзіць, спакрыўджаны."
ИЗОБИЛИЕ,"ср. аквітасьць. Усяго аквіта было. Аквіты ураджай сёлета. Багацьце; Багаты ураджай, багаты прыём. Усяго багата было."
ИЗОБЛИЧАТЬ,"каго у чым; раскрываць, вінаваціць, высьвятляць."
ИЗОБРЕТАТЬ,"што, вынаходзіць, вынаходчывасьць, вынаходчык, вынахад."
ИЗОГРАФИЯ,ж. грэцк. навука аб маляваньні сьвятых на абразах; ізографія.
ИЗОЛИРОВАТЬ,"што, аддзяліць ад усяго акружаючага; ізаляваць."
ИЗОСТРЯТЬ,"што, вастрыць, завастраць; аб умысловых рэчах гаворыцца; „изощрять“. Выкруты дыялектыкі не завастраюць розум, а толькі ухітраюць яго крывадушнасьцю."
ИЗОТЕРМЫ,"ж. мн. грэцк. пункты аднаго і таго-ж паўклубьбя зямлі; дзе сярэдняя цяплата аднастайная; ізотэрмы, адноцеплі."
ИЗРОЖДЕНИЕ,"ср. вызродзьдзе, вызрадак."
ИЗРАЗЕЦ,"м. гліняная пліта зьверху паліваная; кахля, кахлёвы, кахляр."
ИЗРАНА,прысл. спазараньня.
ИЗРАСХОДОВАТЬ,"што, выдаць, выдаткаваць."
ИЗРЕКАТЬ,"што, высказываць, выслаўляць."
ИЗРЕЧЕНИЕ,"ср. выслоў, высказ."
ИЗРУБАТЬ,"што, зсякаць."
ИЗРУГАТЬ,"каго, злаяць."
ИЗРЫГАТЬ,"што, вырыгаць, адрыгаць. Карова адрыгае жвачку. Печ вырыгае агонь."
ИЗРЫТЬ,"што, скапаць. Скапаць зямлю."
ИЗРЕДЬ,"прысл, спорэзь, рады ў гады."
ИЗРЕЗ,м. адрэз. На адрэзе папэцкана.
ИЗСАЛИТЬ,"што, вытлусьціць, затлусьціць."
ИЗСКОБЛИТЬ,"што, саскабліць."
ИЗСЛЕЖИВАТЬ,"зьвера, высьледжываць."
ИЗСЛЕДОВАНИЕ,"ср. досьлед, дасьледчык, дасьледаваньне; дацяканьне, дацякач, дацякаць."
ИЗСТАРИ,"прысл. сыздаўна, здаўна, з старадаўна."
ИЗСТЕГАТЬ,"каго, адсьцябаць, высьцябаць."
ИЗСТОНАТЬ,"нуду сваю, выстагнаць."
ИЗСТРАДАТЬ,"што, вымучыць."
ИЗСТРАДАНИЕ,"ср. вымучаньне, змучаньне."
ИЗСТУПАТЬ,"с чаго, саступаць."
ИЗСЧИТЫВАТЬ,"што, сасчотаваць."
ИЗСЕКАТЬ,"што, высякаць, вырубаць."
ИЗУВАТЬ,"каго, вызуваць."
ИЗУВЕРТКА,ж. выкрутка.
ИЗУВЕРСТВО,"ср. фанатызм, фанатык."
ИЗУВЕЧИВАТЬ,"каго, бязвечыць, абязвечыць; пакалечыць; бязьвечча, калецтва."
ИЗУГЛИВАТЬ,"што, звугаліваць, звугалены."
ИЗУКРАШИВАТЬ,"што, аздабляць."
ИЗУМЛЯТЬ,"каго чым, зьдзіўляць, дзівіць даводзіць да найвышэйшага подзіву; здумляць, здумеўся."
ИЗУМИТЕЛЬНО,"ср. здумеўна, зумеўна. Аж я зумеўся гэта пачуўшы. Зумеліся людзі гледзячы на гэта дзіва."
ИЗУМРУД,м. дарагі камень зялёнага колеру; шмарагд.
ИЗУРОДОВАТЬ,"каго, што; калечыць."
ИЗУЧАТЬ,"што, вывучаць, вывучацца, вывучаньне, вывучаны. Ен вывучае старыя мовы. Я хачу пачаць вывучацца прыроды."
ИЗЯВЛЯТЬ,"што, выяўляць, выяўна, выяўленьне."
ИЗЯЗВЛЯТЬ,"што, каго; раніць, параніць."
ИЗЯН,"м. вада, вадлівы. Ніякай вады німа ў каня. Якая вада ў дзеўкі? Ніякой вады німа."
ИЗЯСНЯТЬ,"што, каму; тлумачыць, выясьняць, выкладаць."
ИЗЯСНЕНИЕ,"ср. тлумачэньне, выклад, выясьненьне."
ИЗЯТИЕ,"ср. вызняцьце, вызняты."
ИЗЫСКАНИЕ,"ср. вышуканьне, вынахад, дацяканьне."
ИЗЫТОЖИТЬ,"грошы, счотаваць, сасчотаваць."
ИЗЮМ,"м. зборн. сушаныя вінагрозьдзі: разынкі, граздынкі. Граздынкамі называюць разынкі ў грозьдзях."
ИКОТА,"ж. ікаўка, гікаўка,"
ИКОНА,"ж. грэцк. ікона, абраз."
ИКОСАЭДР,"ж. грэцк, цела якое мае дванадцаць роўнабочных трыкутнікаў. Гэта адзін з правільных многасьценаў твораных з клуба, зрэзаньнём адсекаў; ікосаэдр."
ИКРА,ж. мясістая часьць падкаленьня; ікры.
ИЛЕМ,м. ИЛЬМА ж. дрэва Ulmus campestris; бераст.
ИЛИ,"злуч. або, ці; Ці тое бяры, ці другое. Швагер або жончын брат."
ИЛ,м. буза. Бузаватае дно ў возеры.
ИЛЮЗИЯ,"ж. франц. абман зроку, чову, выабражэньня; ілюзія, мікраць. Мікрамі называюць іскрынкі і клубікі, якія здаюцца ў вачах перад сном."
ИЛЮМИНОВАТЬ,"што, франц. прыбіраць агнямі, кветкамі; размалёвываць фарбамі; люмінаваць."
ИЛЮСТРОВАТЬ,"выданьне, кнігу, франц. аздабляць рысункамі; ілюстраваць."
ИМПОНИРОВАТЬ,франц. імпанаваць.
ИМПРОВИЗИРОВАТЬ,"што, італьян. гаварыць вершамі, укладаючы вершы; гаварыць прамову не падгатовуючыся; гаварыць с памяці; імправізаваць."
ИМЕТЬ,"што, мець. Лепей мець, як ня мець."
ИМЕНЬЕ,"ср. маетнасьць, маемасьць; собіна; дабытак."
ИМЯ,"ср. агульн. слав.; імя, іменны; мяно, мяняваць, мяноўна, мянушка. Я-ж не бязмяноўная авечка. Як тваё імя? Іменны білет. Поракла, прозьвішча, другое, ня хроснае імя."
ИМЕННО,"прысл. мяноўна, мянаваць."
ИНБИРЬ,м. Amomum Zingiber; імбір.
ИНВАЛИД,м. франц. заслужаны ваяр няздольны ўжо да службы; інвалід—дка.
ИНВЕНТАРЬ,"м. лац. сьпісаньне маетнасьці, зямель, рэчаў; інвэнтар."
ИНГРЕНДИЕНЦИИ,"мн. лац. складныя часьці мяшаніцы, найчасьцей лекарскай; інгрэдыенціі."
ИНДИВИД,"м. лац. асоба, адзінка; індывід індывідуальнае."
ИНДИКТ,м. лац. пятнадцацілетні працяг часу; лічыцца ад 1 верасьня; індыкт.
ИНДИФЕРЕНТИЗМ,"м. лац. безразрожлівасьць, роўнадушлівасьць."
ИНДУЛЬГЕНЦИЯ,ж. лац. дараваньне грахоў. Нашы уніяты называлі гэта прошчай.
ИНДУСТРИЯ,"ж. франц. працавітасьць, умецтва промыслаў; прамысловасьць, індустрыя."
ИНДЮК,"м. індык, калакут."
ИНЕРЦИЯ,"ж. лац. фіз; нячыннасьць цел бяз зьнешняй пабудкі; інэрція, нядзейнасьць."
ИНЖИНЕР,"м. вучоны будаўнік, але ня жытных дамоў (гэта архітэктар) а другіх будынкаў і рэчаў; інжынер."
ИНЖИР,"м. тур. фігі, ягадніцы."
ИНИЦИАТИВА,"ж. лац. пачын, ініціятыва."
ИНКВИЗИЦИЯ,ж. лац. суд духоўны устаноўлены папежамі для розыску і суда над праступнікамі супроць веры: інквызыція.
ИНКОГНИТО,"прысл. з лац.; не пад сваім мяном, не апавяшчаючы сваю годнасьць, названьне; інкогніта."
ИНКОРПОРАЦИЯ,"лац. злучыць, зьліць у адно, ўлучыць, аб’яднаць; інкорпорація. Німа ніякай патрэбы ўжываць гэтае някшталтнае слова ў нашай мове: яго саўсім заступае слова — ўлучыць, ўлучэньне."
ИНОВЕРИЕ,"ср. рознавернасьць, рознаверны, рознавер."
ИНОК,м. ИНОКИНЯ ж. законнік—ца; паслушнік—ца.
ИНОМЫСЛИЕ,"ср. інамыснасьць, інамысна."
ИНОСКАЗАНИЕ,"ср. алягорыя, іносказ, інасказны."
ИНСИНУАЦИЯ,"ж. лац. тайная абмова, падбураньне; інсынуація, брахня."
ИНСПЕКТОР,"м. лацін. дастойнасьць надаваная даглядчыку, загадчыку пад чым; інспэктар, інспэкція."
ИНСТАНЦИЯ,"ж. лац. ступень, у значэньні высшага, сярэдняга ці нізшага месца суда; інстанція."
ИНСТИНКТ,"м. лац. несьвядомая ўнутранная пабудка паводле якой паступаюць зьверы; інстынкт, пабудка."
ИНСТИТУТ,м. франц. выхаваўчая вучомная установа; інстытут.
ИНСТРУКЦИЯ,"ж. лацінс; наказ, інструкція."
ИНСТРУМЕНТ,"м. лац. усякая ручная прылада ці устройства для якой колечы работы, пачынаючы ад касаргі (рычага), нажа і сякеры, да компаса і тэлескопу прылада, інструмант."
ИНСУРЕКЦИЯ,"ж. лац. бунт, паўстаньне."
ИНСУРГЕНТ,"м. лац. паўстанец, бунтар."
ИНТЕГРАЛ,м. мат. лац. аканечная сызмерная вялічыня ў тасунку да несканечна малой яе часьці дыфэрэнціялу; інтэграл.
ИНТЕЛЕКТУАЛЬНЫЙ,"лац. умысловы, духовы і разумны; інтэлектуальны."
ИНТЕНДАНТ,"м. франц. хто кіруе еміннымі і другімі засабамі войска; шафар, інтэндант."
ИНТЕНСИВНЫЙ,"лац. сільны і напорысты; інтэнсыўны, напорысты."
ИНТЕРВАЛ,"м. франц. пустая праміжлегласьць; прагал, інтэрвал."
ИНТЕРЕС,"м. франц. прыбытак, зыск; зацікаўленасьць; карысьць, цікаўнасьць, справа."
ИНТЕРМЕДИЯ,"м. лац. невялікі тэатральны твор, напісаны для прадстаўленьня паміж другіх двох відовішч, яно або служыць ўступам да другога, або датыча сьвяткаванай урачыстасьці; інтэрмэдзія."
ИНТИМНЫЙ,"лац. блізкі, паміжсобны, таёмны; інтымны, паміжсобны."
ИНТОНАЦИЯ,"ж. лац. асабліва сільны націск голасам на слове, інтанація."
ИНТРИГА,"м. франц. юджаньне, падкопы, нагаворы і чыны з мэтай каму пашкодзіць — каверза, каверзь, каверзьнік—ца; любоўная зьвязь — баламутня, баламут, баламутка, баламуцтва; завязка, апорны пункт камэдзіі або драмы, зазвычай каханьне з якога родзяцца падкопы, каверзы — завязка; інтрыга."
ИНТРОДУКЦИЯ,ж. муз. фр. ўступ.
ИНФАНТЕРИЯ,"ж. франц. пяхотнае войска, пяхота. Генерал от инфантеріи — поўны генерал пяхоты."
ИНФЛАМАЦИЯ,ж. лекар. запаленьне.
ИНФЛЕКСИЯ,праменьняў святла ж. наклон.
ИНФУЗОРИЯ,"ж. лац. мікраскапічная жывулька, ва ўсіх цеклацях, асабліва ў кіснучых і загніваючых; інфузорыя. Адмены іх: монада або пункцік, клубцік, вітушок, раскірзок."
ИПОКРИТ,"м. грэцк. аблыжны і скрытны пакорлівец; гіпакрыта, гіпакрыція."
ИРАЦИОНАЛЬНЫЙ,"лац. бязсэнсоўны, не разумны, не карысны; недамэтны."
ИРРЕГУЛЯРНЫЙ,"лац. неакуратны, няроўны, няўладжаны; няўладжаны."
ИРИГАЦИЯ,"ж. лац. заліваньне вадой поля, паласканьне; затопа."
ИРОНИЯ,"ж. грэцк. насьмешлівая пахвала, пахвала якая выражае дакор, іронія, хлусьва."
ИСКАЖАТЬ,"што, перайначываць, выабражаць на выварат; казіць."
ИСКАНИЕ,"ср. шуканьне. Сталі чытаць, імя шукаць, Імя шукаць, чым сына зваць. (Рог. п. Ром. 8—9 с. 172)."
ИСКОПОК,"м. выкапень, выкапка, капанец."
ИСКЛЮЧАТЬ,"што, выкідаць з ліку, адкідаць; выключаць, выключна, выключнасьць; вызьнімаць. Гэта выключнае здарэньне. Я ем выключна жытні хлеб."
ИСКОВЫРЯТЬ,"што, скалыпаць."
ИСКОЛЕСИТЬ,"што, скалакружыць. Я скалакружыў ўсю аколіцу."
ИСКОЛОТИТЬ,"каго, што, зьбіць. Зьбіў яго на кіслае яблыка."
ИСКОНИ,"прысл. спракон, спраконна, спракавечна. Спракон так вядзецца, што жана мужу паддаецца."
ИСКОНОПАЧИВАТЬ,што выпаклёвываць.
ИСКОРЕНЯТЬ,"што, выкараняць, выпленяць. Выпленіў асот ў гародзе. Выпленіў ды выкараніў Бог род іхні."
ИСКОРОБИТЬ,"што, скарабаціць, пакарабаціць, карабаціць. Дошкі паракабаціліся. Стол скарабаціўся."
ИСКРА,"ж. маленькая частачка распаленага, агністая крупінка; іскра, яска, ясачны, іскрысты, іскравы, іскранік, іскрыць, іскрысты."
ИСКУПАТЬ,"што, выкупляць, адкупляць."
ИСКУШАТЬ,"каго, чым; спакушаць, спакуса, спакусьнік-ніца, спакусьлівы; блазіць. Блазіць мяне нячысты."
ИСКУСТВО,"ср. умецтва, штука, мастацтва."
ИСКУШЕНИЕ,"ср. спакуса; блазь. Нячысты ўсякую блазь (спакусу) рабіў, а ткі не зблазіў."
ИСК,м. спозыск. Спозыск доўгу.
ИСПАРЯТЬ,"што, выпарываць."
ИСПАРЕНИЕ,"ср. выпар, выпарына, выпары, параваньне. Ня толькі вада, але і лед парце. Выпары цела называюцца потам."
ИСПАЧКАТЬ,"што, сьпэцкаць."
ИСПЕЧЬ,"што, сьпячы, сьпечаны."
ИСПЕЛЕНАТЬ,"дзяцё, сьпавіць."
ИСПЕПЕЛИТЬ,"што, спапяліць."
ИСПЕРВА,"прысл. сьпярша. Сьпярша ты, пасьля ўжо я. Сьпярша работа, а пасьля спачынак."
ИСПЕСТРИТЬ,"што, спярэсьціць, зпстрыкаціць. Мухі спстрыкацілі акно."
ИСПОВЕДЫВАТЬ,"веру, вызнаваць. Вызнаю веру хрысьціянскую. Вызнаю грахі мае."
ИСПОВЕДАНИЕ,"ср. вызнаньне, вера, рэлігія."
ИСПОВЕДЬ,"ж. споведзь, спавядацца, спаведнік."
ИСПОДВОЛЬ,"прысл. спавольна, сполегка, злягка. Спавольна, сполегка і вольху сагбаеш."
ИСПОДНИЦА,ж. спадніца.
ИСПОКОН,"прысл. спракон, спракон веку спраконны."
ИСПОЛА,"прысл. на палавіну, палавіньнік, або запашнік які абрабляе зямлю за палавіну ураджаю."
ИСПОЛАТЬ,"выклік, з грэцк. слава."
ИСПОЛИН,"м. нязвычайна вялікі: волат, гігас."
ИСПОЛНЯТЬ,"што, выпаўняць, выпаўненьне, выпаўніцель-ніца; выконываць, выкананьне выканальнасьць."
ИСПОЛОСИТЬ,"што, спалосаваць."
ИСПОЛОСКАТЬ,"што, спаласкаць."
ИСПОЛОХ,"м. перапалох, спалох."
ИСПОЛЬЗОВАТЬ,"каго, выкарыстаць."
ИСПОРТИТЬ,"што, сапсаваць, сапсуты."
ИСПОРЕДЬ,"прысл. рэдка, калі-не калі, рады ў гады."
ИСПОТЧЕВАТЬ,"што, счаставаць. Счаставаў усю гарэлку."
ИСПОШЛЯТЬ,"каго, што; сплыжаць, плыгкі. Ен ўсё чыстае, прыгожае умее сплыжыць, зрабіць агідным плыгкім (ад „плы(і)гаць“ скакаць як жаба)."
ИСПРАВЛЯТЬ,"што, каго; папраўляць, паправа."
ИСПРАВНИК,м. зьверхнік земскай паліціі; спраўнік.
ИСПРАЖЕНИЕ,"ср. спарожжа, спаражняць."
ИСПРАШИВАТЬ,"што ў каго; дамагацца просьбай; прасіць пазваленьня зьверхнасьці; прасіць, просьба, прошаны, просьбіт-тка."
ИСПРОБОВАТЬ,"што, выпрабаваць."
ИСПРОВЕРГАТЬ,"што, вывяртаць, вываротлівы."
ИСПРЯМЛЯТЬ,"што, спрастовываць."
ИСПУГАТЬ,"каго спужаць, спудзіць: ўлякнуць, спалашыць."
ИСПУГ,"м. спужа, упуд; злякнасьць, злякненьне; спалох. З упуду, са спужы, са злякненьня, са спалоху, хварэе."
ИСПУПОК,"м. пупавая папула, выпаданьне кішок у падскурны прарыў пупка; грызь."
ИСПУСКАТЬ,"што, з чаго; выпускаць; выдаваць з сябе крык; выдаваць; выпускаць („испускать“) душу, аддаць Богу душу."
ИСПЫТЫВАТЬ,"што, каго; выспрабовываць, выпрабовываць, выпрабоўка, выспраб; выспытываць, выспыт; дазнаваць. Выпрабовуй золата агнём, а дружбу грашамі. Выпрабуй на сабе. Ня выспытаўшы броду, ня сунься ў воду. Ён дазнаў многа гора ў жыцьці. На вясну будуць выспыты у школе."
ИСПЯТНАТЬ,"што, спаляміць, папляміць, парабаціць."
ИССОП,м. гізоп.
ИСТОР,м. страта.
ИСТАЧИВАТЬ,"што, прышыць шавецкім спосабам; прышыць."
ИСТОЧАТЬ,"што, вытачываць на такарным пастаўку; вытачываць."
ИСТОК,"м. вытак. Вытак ракі, вытак крыві."
ИСТОПТАТЬ,"што, стаптаць, затаптаць; здратаваць. Затаптаць нагамі памост, забрудзіць гразёй. Коні выдратавалі авёс."
ИСТОЧНИК,м. крыніца; даўней крынь: Крыны же проливающе поток (Мінэя 1096 г.) Гортань твой яко крынь проливающи миро (Срезн.).
ИСТЕРЕБИТЬ,"што, выцерабіць."
ИСТЕРЗАТЬ,"каго, выстурзаць, стурзаць, стурзнуць, спатурзнік-рзніца."
ИСТЕРИКА,"ж. жаночая нэрвовая хвароба; гістэрыя, гістэрычка."
ИСТЕРЯТЬ,"што, вытраціць, выдаць."
ИСТЕЦ,"м. спазыстчык-чыца; сусцяжай. А коли супор, а любо сутяжай речеть (Вісл. статут 1347)."
ИСТЕЧЕНИЕ,тэрміну: зыход.
ИСТИНА,"ж. ўсё што праўдзіва, справядліва; праўда, праўдзіва, спраўдна; істасьць, істаўка, ісьціца. Ісьцівая праўда."
ИСТЛИТЬ,"што, сатліць, сатлець, вытлевак, вытлеў, вытлеўшы."
ИСТОЛОЧИТЬ,"траву, сталошыць, здратаваць, стаўчы."
ИСТОЛКОВЫВАТЬ,"што, каму; тлумачыць."
ИСТОЛКОВАТЕЛЬ,"м. тлумач, тлумачаньне."
ИСТОЛСТА,"прысл. стоўсна, стоўсны, стоўсьць."
ИСТОМЛЯТЬ,"каго, знураць, знурыўся, знураньне; зьнемагаць, зняможаны, зьнямога. Зьнямогся ад працы."
ИСТОНИТЬ,"што, сцяніць, ценкі,"
ИСТОРГАТЬ,"што, браць, вырываць, сілай; вытыргаць, вытыргнуць; вырываць."
ИСТОРЖЕНИЕ,ср. вытырг.
ИСТОРИЯ,"ж. лац. гісторыя, гісторык, гістарычны."
ИСТОЧАТЬ,"што, вытачаць, разьліваць. Сьлёзак вытачыш крыніцы. Разьлівае ласкавасьць сваю."
ИСТОЩАТЬ,"што, атушчаць, пустошыць, вычэрпываць. Не хвароба вычарпала яго, а недаедкі. Ён вычарпаў маетнасьць сваю. Я, праўда, атушчаю, пустошу дастаткі свае, але на добрыя справы. Цярпеньне маё вычарпалася."
ИСТРАВИТЬ,"што, спасьвіць, спаша."
ИСТРЕБЛЯТЬ,"што, нішчыць, вынішчаць, выгубляць."
ИСТРЕБОВАТЬ,"што, зажадаць. Зажадаўшы тлумачэньня, разгледзь справу."
ИСТРЕПАТЬ,"што, аб лёне і наагул валакне: вытрапаць; аб кнігах, вопратцы: схлюндрыць, зьдерці, злахматаць."
ИСТРЕПОК,"м. атропак, хлюндыр, дзярмень, лахмат."
ИСТУКАН,м. паганскі бажок круглай работы; стод.
ИСХОД,"м. выхад, зыход, вынік. Чакаем выніку справы. Чакаем зыходу сонца. Выхад жыдоў з Егіпту."
ИСХОДЯЩИЙ,"аб дакумантах, выбываючы, адваротнае: паступаючы."
ИСХОДАТАЙСТВОВАТЬ,— выстарацца.
ИСХИЩАТЬ,"што, выхватаць, выхват."
ИСХЛОПОТАТЬ,"што, выклапаціць, выстарацца."
ИСЦАРАПАТЬ,"што, зьдзярстаць, падзёрстаць. Хто гэта падзёрстаў рысунак? Дзе ты падзярстаў сабе рукі."
ИСЦЕЛЯТЬ,"што, вызгаяць, вызгаяцца, вызгойнасьць, вызгаіць, вызгойшчык, вызгойлівы. Ня можна вызгаіць, то лепш адсеч. Вызгойлівая рана, але пакуль выгаіцца часу трэба."
ИСЧАДИЕ,"ср. вызродзьдзе, вырадак, выродны."
ИСЧЕЗАТЬ,"прападаць бяз весьці, момантальна хавацца, рабіцца нявідомым; зьнікаць, знікомы, зьнеціцца. Зямная слава нікне як дым. Зьнікнуў з вачэй. Зьнеціўся бес у балоце."
ИСЧЕРКИВАТЬ,"што, скрэмзаць, скрэмзаны."
ИСЧЕРПЫВАТЬ,"што, вычэрпываць."
ИСЧЕРТИТЬ,"што, скрэсьліць, пакрэсьліць."
ИСЧИСЛЯТЬ,"што, вылічаць, чотаваць. Чотаваць гаворуць у Лідчыне."
ИСЧИСЛЕНИЕ,"ср. вылічэньне, вылічаньне."
ИСЩЕЛОЧИТЬ,"попел. вылужыць, выжлукціць."
ИТОГ,"м. вывад кождага складаньня, сколькі чаго наагул; сума, сумація; зьлічво. Слова зьлічво выражае ня суму, а „счет“ і дзеля гэтага ўжываньне яго ў першым значэньні памылковае."
ИТОГО,"прысл. усяго. Пішацца пад зьлічвом, супроць агульнай сумы."
ИХТИОЛОГИЯ,"ж. грэцк, навука аб рыбах; іхтыолёгія."
ИХТИОЛИТ,м. грэцк. акамеўшая рыба; іхтыоліт.
ИХТИОЗАВР,"м. грэцк. дапатопнае выкопнае стварэньне, рыбаяшчар; іхтыозаўр."
ИХ,"заімак. іх, іхні. Гэта іхні загон. Жывем іх ласкамі, іхнімі ласкамі."
ИЩЕЙКА,"аб сабаках, ганчак, гончы."
ИЕГОВА,м. жыдоўскае імя Бога; Ягова.
ИЕРАРХ,"м. грэцк. сьвятаразьверхнік: біскуп, архірэй, мітрапаліт; герарх, герархія."
ИЕРЕЙ,м. грэцк. хрысьціянскі сьвятар; сьвятар.
ИЕРОМОНАХ,м. грэц. манах-сьвятар; яраманах.
ИЕРЕМИАДА,"ж. сьлёзнае, плаклівае зажаленьне; ераміяда."
ИЕРОГЛИФ,м. пісьмо умоўнымі рысункамі замест літараў; герогліф. Егіпецкіе герогліфы ведамы больш за іншыя.
ИЕРУСАЛИМ,"м. горад, даўнейшая сталіца жыдоўскага царства; Ерузалім."
ИОРДАН,м. прорубка для водасьвяцьця на Вадохрышча; ярдан.
ИЮЛЬ,м. сёмы месяц у годзе; ліпень.
ИЮНЬ,м. шосты месяц у годзе; чэрвень. 
КАБА,"ж. нявысокі кол ўбіты ў зямлю да прывязаваньня чоўнаў, а такжа калода служачая да гэтай патрэбы: астуг. Прывяжы човен да астуга. Лёд паламаў рыбацкія астугі."
КАБАК,"м. Дом дзе прадаюць і расьпіваюць пьяныя напіткі; карчма, карчомны, карчмаваць, карчмар-рка."
КАБАЛА,"ж. кождае пісанае забавязаньне; усякая няволя, залежнасьць; запалон, азапаланіваць."
КАБАЛИСТИКА,"ж. жыдоўскае містычнае тлумачаньне Старага Закону (Бібліі), злучанае з чарадзейскімі забабонамі; кабалістыка."
КАБАН,"м. сьвінны самец ня выкладаны; кілун, кнур, кнораз, керназ; выкладаны: парсюк, кабан, вяпрук, вепр."
КАБЕЛЬ,м. марск. вяроўка ад 6 да 12 цаляў таўшчыні; снасьць.
КАБИНЕТ,"м. сьвятліца да адасобленай інтэлігенцкай працы; работня, працоўня, кабінэт."
КАБЛУК,"м. набойка пры боце пад пятой; запятак, абцас. Слова „абцас“ чужое ў нашай мове."
КАБОЛКА,"ж. простая пяньковая нітка, таўшчынёй як гусінае пяро, з якіх віюць снасьці; павітка."
КАБОТАЖ,ж. марское наўзьбярэжнае вадаплаўства; наўзбярэжніцтва.
КАБРИОЛЕТ,"м. фр? двуколая каляска; двуколка, бедка."
КАБУШКА,"ж. камок сыру; гамолка, камолка."
КАБЫ,"злуч. каб. Каб ня наша сіла, ды жыдоўская хітрасьць — сьвет бы ня ўстояў. Каб ня быў дзедка, то была-б бабка."
